unigram,gatsby_prob,alice_prob,austen_prob,gatsby_count,alice_count,austen_count
again,0.001121683,0.002997953,0.00142205,56,82,176
their,0.001101652,0.001901141,0.003555125,55,52,440
first,0.001101652,0.001791459,0.001179655,55,49,146
knew,0.001081622,0.000548406,0.00046055,54,15,57
saw,0.001041562,0.000511846,0.000824143,52,14,102
face,0.001041562,0.000511846,0.000218155,52,14,27
only,0.001021532,0.001791459,0.001753323,51,49,217
look,0.001021532,0.001060252,0.00045247,51,29,56
are,0.001001502,0.001937701,0.002755222,50,53,341
right,0.001001502,0.001169933,0.000347433,50,32,43
began,0.001001502,0.002120503,0.00045247,50,58,56
took,0.000961442,0.00087745,0.000428231,48,24,53
girl,0.000961442,0.000146242,0.000307033,48,4,38
thought,0.000941412,0.002705469,0.000896861,47,74,111
toward,0.000941412,0,0,47,0,0
while,0.000941412,0.00087745,0.000614067,47,24,76
half,0.000941412,0.000840889,0.000565588,47,23,70
sport,0.000941412,0,3.23E-05,47,0,4
white,0.000921382,0.001096812,2.42E-05,46,30,3
because,0.000901352,0.000548406,0.000500949,45,15,62
last,0.000901352,0.001206493,0.00095342,45,33,118
off,0.000901352,0.002668909,0.00049287,45,73,61
told,0.000881322,0.000219362,0.000565588,44,6,70
young,0.000881322,0.000182802,0.001042298,44,5,129
day,0.000881322,0.001060252,0.001171575,44,29,145
men,0.000861292,3.66E-05,0.000274714,43,1,34
asked,0.000861292,0.000621527,0.000323193,43,17,40
even,0.000861292,0.000658087,0.000662546,43,18,82
heard,0.000861292,0.001096812,0.000694865,43,30,86
afternoon,0.000841262,0,2.42E-05,42,0,3
light,0.000841262,0,0.000137357,42,0,17
name,0.000821232,0.000365604,0.000266634,41,10,33
until,0.000821232,0.000182802,8.08E-06,41,5,1
how,0.000821232,0.002339865,0.00186644,41,64,231
left,0.000801202,0.000511846,0.000525189,40,14,65
baker,0.000801202,0,0,40,0,0
head,0.000801202,0.001791459,0.000266634,40,49,33
hour,0.000801202,7.31E-05,0.000307033,40,2,38
suddenly,0.000801202,0.000475285,0.000129277,40,13,16
seemed,0.000781172,0.000987131,0.000533269,39,27,66
its,0.000781172,0.002083943,0.000840302,39,57,104
oh,0.000781172,0.001389295,0.000751424,39,38,93
three,0.000761142,0.001023691,0.00049287,38,28,61
miss,0.000761142,0.000146242,0.002286592,38,4,283
let,0.000761142,0.000804329,0.000605987,38,22,75
hands,0.000761142,0.000438725,5.66E-05,38,12,7
once,0.000741112,0.001169933,0.00046863,37,32,58
years,0.000741112,3.66E-05,0.000290874,37,1,36
say,0.000741112,0.00182802,0.001276613,37,50,158
west,0.000741112,0,8.08E-06,37,0,1
why,0.000741112,0.001425856,0.000436311,37,39,54
found,0.000721082,0.001169933,0.000533269,36,32,66
thing,0.000721082,0.001791459,0.000218155,36,49,27
much,0.000721082,0.00186458,0.002650184,36,51,328
another,0.000721082,0.000804329,0.00046055,36,22,57
five,0.000721082,0.000292483,0.000266634,36,8,33
looking,0.000701052,0.001169933,0.000266634,35,32,33
next,0.000701052,0.001096812,0.000581748,35,30,72
tell,0.000701052,0.001133372,0.000565588,35,31,70
than,0.000681022,0.00087745,0.002278512,34,24,282
minute,0.000681022,0.000767768,7.27E-05,34,21,9
egg,0.000681022,3.66E-05,0,34,1,0
though,0.000681022,0.000402164,0.001826041,34,11,226
ca,0.000681022,0.001023691,1.62E-05,34,28,2
world,0.000660991,0.000255923,0.000533269,33,7,66
always,0.000660991,0.000438725,0.000969579,33,12,120
nothing,0.000660991,0.001243054,0.00143013,33,34,177
small,0.000660991,0.000365604,0.000185836,33,10,23
upon,0.000660991,0.00095057,0.000565588,33,26,70
each,0.000660991,0.000292483,0.000517109,33,8,64
can,0.000640961,0.001279614,0.002601705,32,35,322
must,0.000640961,0.001608658,0.002488587,32,44,308
under,0.000640961,0.000584966,0.000266634,32,16,33
against,0.000640961,0.000329044,0.000420151,32,9,52
sat,0.000640961,0.000621527,0.000307033,32,17,38
alone,0.000620931,0.000146242,0.000242395,31,4,30
own,0.000620931,0.000365604,0.001519008,31,10,188
along,0.000620931,0.000182802,8.08E-05,31,5,10
front,0.000620931,7.31E-05,4.04E-05,31,2,5
cried,0.000620931,0.000731208,0.000735264,31,20,91
seen,0.000620931,0.000511846,0.000614067,31,14,76
table,0.000620931,0.000658087,0.000282794,31,18,35
mrs,0.000620931,0,0.002771381,31,0,343
wolfshiem,0.000620931,0,0,31,0,0
most,0.000600901,0.000292483,0.001494768,30,8,185
together,0.000600901,0.000329044,0.000525189,30,9,65
sound,0.000600901,0.000146242,6.46E-05,30,4,8
good,0.000600901,0.000987131,0.001640205,30,27,203
still,0.000580871,0.000475285,0.000597907,29,13,74
life,0.000580871,0.000438725,0.00045247,29,12,56
morning,0.000580871,0.000182802,0.000630227,29,5,78
things,0.000580871,0.001060252,0.000242395,29,29,30
york,0.000580871,0,8.08E-06,29,0,1
called,0.000580871,0.000548406,0.000331273,29,15,41
himself,0.000580871,0.000219362,0.001026138,29,6,127
ever,0.000560841,0.000804329,0.001074617,28,22,133
take,0.000560841,0.000767768,0.000646386,28,21,80
stood,0.000560841,0.000255923,0.000113118,28,7,14
side,0.000560841,0.000621527,0.000436311,28,17,54
does,0.000560841,0.00091401,0.000686785,28,25,85
wanted,0.000540811,0.000146242,0.000185836,27,4,23
those,0.000540811,0.000365604,0.00046863,27,10,58
every,0.000540811,0.000438725,0.001470529,27,12,182
moved,0.000540811,0.000182802,7.27E-05,27,5,9
make,0.000540811,0.00095057,0.001349331,27,26,167
anything,0.000540811,0.000694648,0.000646386,27,19,80
without,0.000540811,0.00091401,0.001373571,27,25,170
home,0.000540811,0.000182802,0.000541349,27,5,67
gave,0.000520781,0.000548406,0.000436311,26,15,54
great,0.000520781,0.001425856,0.001147336,26,39,142
across,0.000520781,0.000182802,4.85E-05,26,5,6
four,0.000520781,0.000292483,0.000282794,26,8,35
inquired,0.000520781,3.66E-05,6.46E-05,26,1,8
might,0.000520781,0.001023691,0.001607886,26,28,199
garage,0.000520781,0,0,26,0,0
few,0.000500751,0.000329044,0.000573668,25,9,71
rather,0.000500751,0.00091401,0.000444391,25,25,55
later,0.000500751,0.000109681,2.42E-05,25,3,3
air,0.000500751,0.000548406,0.000242395,25,15,30
open,0.000500751,0.000255923,0.000137357,25,7,17
these,0.000500751,0.000511846,0.000565588,25,14,70
hot,0.000500751,0.000255923,2.42E-05,25,7,3
dark,0.000500751,0.000109681,1.62E-05,25,3,2
felt,0.000480721,0.000840889,0.000799903,24,23,99
everything,0.000480721,0.000438725,0.00048479,24,12,60
started,0.000480721,7.31E-05,3.23E-05,24,2,4
between,0.000480721,0.000219362,0.000509029,24,6,63
garden,0.000480721,0.000548406,9.70E-05,24,15,12
love,0.000480721,0.000109681,0.000743344,24,3,92
nick,0.000480721,0,0,24,0,0
demanded,0.000480721,0,0,24,0,0
our,0.000480721,0.000292483,0.000597907,24,8,74
o'clock,0.000480721,0.000109681,4.04E-05,24,3,5
steps,0.000480721,0,4.04E-05,24,0,5
sort,0.000460691,0.000731208,0.000298954,23,20,37
walked,0.000460691,0.000365604,0.000355512,23,10,44
lawn,0.000460691,0,4.85E-05,23,0,6
broke,0.000460691,7.31E-05,2.42E-05,23,2,3
hear,0.000460691,0.000511846,0.000565588,23,14,70
feet,0.000460691,0.000694648,8.08E-06,23,19,1
wife,0.000460691,3.66E-05,0.000379752,23,1,47
gone,0.000460691,0.000475285,0.000500949,23,13,62
east,0.000440661,0,0,22,0,0
town,0.000440661,0,0.000533269,22,0,66
buchanan,0.000440661,0,0,22,0,0
ought,0.000440661,0.000511846,0.000363592,22,14,45
word,0.000440661,0.000365604,0.000395912,22,10,49
yes,0.000440661,0.000475285,0.000614067,22,13,76
yellow,0.000440661,0,0,22,0,0
hair,0.000440661,0.000255923,2.42E-05,22,7,3
course,0.000440661,0.00091401,0.000379752,22,25,47
myrtle,0.000440661,0,0,22,0,0
married,0.000440661,0,0.00047671,22,0,59
michaelis,0.000440661,0,0,22,0,0
matter,0.000420631,0.000329044,0.000234315,21,9,29
year,0.000420631,7.31E-05,0.000234315,21,2,29
woman,0.000420631,3.66E-05,0.000500949,21,1,62
road,0.000420631,0,0.000113118,21,0,14
money,0.000420631,0,0.000218155,21,0,27
among,0.000420631,0.000438725,0.000201996,21,12,25
full,0.000420631,0.000219362,0.000153517,21,6,19
god,0.000420631,0,3.23E-05,21,0,4
blue,0.000420631,3.66E-05,1.62E-05,21,1,2
put,0.000420631,0.001133372,0.000250475,21,31,31
rose,0.000420631,0.000182802,5.66E-05,21,5,7
beside,0.000420631,0,8.08E-06,21,0,1
will,0.000400601,0.001133372,0.003385448,20,31,419
has,0.000400601,0.000329044,0.001826041,20,9,226
end,0.000400601,0.000658087,0.000234315,20,18,29
stopped,0.000400601,0.000109681,4.85E-05,20,3,6
evening,0.000400601,7.31E-05,0.000597907,20,2,74
chicago,0.000400601,0,0,20,0,0
windows,0.000400601,0,4.85E-05,20,0,6
place,0.000400601,0.000292483,0.000597907,20,8,74
almost,0.000400601,0.000219362,0.00047671,20,6,59
trying,0.000400601,0.000511846,4.85E-05,20,14,6
butler,0.000400601,0,8.08E-06,20,0,1
met,0.000400601,0.000109681,0.000315113,20,3,39
drive,0.000400601,7.31E-05,3.23E-05,20,2,4
party,0.000400601,0.000365604,0.00046055,20,10,57
girls,0.000400601,0.000109681,0.000355512,20,3,44
loved,0.000400601,0,8.08E-05,20,0,10
many,0.000380571,0.000438725,0.0009615,19,12,119
hard,0.000380571,0.000292483,9.70E-05,19,8,12
heart,0.000380571,7.31E-05,0.000363592,19,2,45
such,0.000380571,0.001498976,0.003134974,19,41,388
city,0.000380571,0,8.08E-06,19,0,1
days,0.000380571,0.000146242,0.000250475,19,4,31
summer,0.000380571,7.31E-05,0.000153517,19,2,19
body,0.000380571,7.31E-05,0,19,2,0
telephone,0.000380571,0,0,19,0,0
big,0.000380571,0,0,19,0,0
chair,0.000380571,3.66E-05,4.85E-05,19,1,6
fact,0.000380571,0.000292483,0.000113118,19,8,14
ago,0.000380571,7.31E-05,0.000210076,19,2,26
dog,0.000380571,0.000109681,0,19,3,0
tried,0.000380571,0.000694648,0.000121197,19,19,15
perhaps,0.000380571,0.000621527,0.000622147,19,17,77
high,0.000360541,0.000584966,0.000145437,18,16,18
itself,0.000360541,0.000511846,7.27E-05,18,14,9
business,0.000360541,0.000255923,0.000363592,18,7,45
idea,0.000360541,0.000548406,0.000395912,18,15,49
dozen,0.000360541,0,1.62E-05,18,0,2
window,0.000360541,0.000292483,0.000129277,18,8,16
island,0.000360541,0,0,18,0,0
brought,0.000360541,0.000109681,0.000307033,18,3,38
inside,0.000360541,7.31E-05,0,18,2,0
slowly,0.000360541,0.000292483,3.23E-05,18,8,4
grey,0.000360541,3.66E-05,0,18,1,0
mean,0.000360541,0.000365604,0.000266634,18,10,33
give,0.000360541,0.000438725,0.000993819,18,12,123
passed,0.000360541,0.000182802,0.00049287,18,5,61
friend,0.000360541,0.000109681,0.000904941,18,3,112
call,0.000360541,0.000329044,0.000226235,18,9,28
far,0.000360541,0.000475285,0.00047671,18,13,59
better,0.000360541,0.000511846,0.000743344,18,14,92
behind,0.000360541,0.000475285,0.000113118,18,13,14
opened,0.000340511,0.000365604,0.000145437,17,10,18
am,0.000340511,0.000548406,0.002569386,17,15,318
find,0.000340511,0.000767768,0.00047671,17,21,59
happened,0.000340511,0.000255923,0.000193916,17,7,24
whole,0.000340511,0.000475285,0.000638306,17,13,79
answered,0.000340511,0.000146242,0.000250475,17,4,31
somebody,0.000340511,0.000255923,6.46E-05,17,7,8
sitting,0.000340511,0.000365604,0.000169676,17,10,21
used,0.000340511,0.000438725,0.000177756,17,12,22
fell,0.000340511,0.000219362,1.62E-05,17,6,2
dress,0.000340511,0,4.04E-05,17,0,5
shook,0.000340511,0.000329044,8.89E-05,17,9,11
several,0.000340511,0.000146242,0.000185836,17,4,23
sure,0.000340511,0.00087745,0.000832222,17,24,103
wo,0.000340511,0.00087745,8.08E-06,17,24,1
green,0.000340511,0.000146242,2.42E-05,17,4,3
rain,0.000340511,0,3.23E-05,17,0,4
times,0.000340511,0.000219362,0.000161597,17,6,20
past,0.000340511,0.000109681,8.08E-05,17,3,10
myself,0.000340511,0.000255923,0.000775664,17,7,96
remember,0.000320481,0.000511846,0.000177756,16,14,22
being,0.000320481,0.000694648,0.00142205,16,19,176
sent,0.000320481,7.31E-05,0.000177756,16,2,22
office,0.000320481,0,4.85E-05,16,0,6
talked,0.000320481,0,0.000307033,16,0,38
bed,0.000320481,3.66E-05,4.85E-05,16,1,6
arrived,0.000320481,3.66E-05,0.000121197,16,1,15
bought,0.000320481,0,3.23E-05,16,0,4
believe,0.000320481,0.000329044,0.000711025,16,9,88
bright,0.000320481,0.000292483,8.08E-06,16,8,1
standing,0.000320481,3.66E-05,0.000105038,16,1,13
porch,0.000320481,0,0,16,0,0
coat,0.000320481,0,3.23E-05,16,0,4
same,0.000320481,0.00087745,0.000557508,16,24,69
outside,0.000320481,0.000146242,0,16,4,0
women,0.000320481,0,0.000153517,16,0,19
nodded,0.000320481,3.66E-05,0,16,1,0
live,0.000320481,0.000292483,0.000169676,16,8,21
set,0.000320481,0.000511846,0.000250475,16,14,31
insisted,0.000320481,0,8.08E-06,16,0,1
street,0.000320481,0,0.000153517,16,0,19
waited,0.000320481,0.000402164,5.66E-05,16,11,7
mckee,0.000320481,0,0,16,0,0
least,0.000300451,0.000292483,0.000525189,15,8,65
short,0.000300451,0.000146242,0.000347433,15,4,43
except,0.000300451,0.000146242,0.000177756,15,4,22
drove,0.000300451,0,8.89E-05,15,0,11
enough,0.000300451,0.000621527,0.000864542,15,17,107
reached,0.000300451,0,0.000145437,15,0,18
arm,0.000300451,0.000548406,3.23E-05,15,15,4
leaned,0.000300451,0,0,15,0,0
laughed,0.000300451,7.31E-05,8.89E-05,15,2,11
quickly,0.000300451,7.31E-05,3.23E-05,15,2,4
ask,0.000300451,0.000402164,0.000250475,15,11,31
getting,0.000300451,0.000804329,5.66E-05,15,22,7
expression,0.000300451,3.66E-05,0.000177756,15,1,22
close,0.000300451,0.000475285,7.27E-05,15,13,9
words,0.000300451,0.000767768,0.000234315,15,21,29
immediately,0.000300451,0.000109681,0.00049287,15,3,61
speak,0.000300451,0.000511846,0.000533269,15,14,66
glanced,0.000300451,3.66E-05,0,15,1,0
followed,0.000300451,0.000292483,0.000201996,15,8,25
suppose,0.000300451,0.000511846,0.000387832,15,14,48
wait,0.000300451,3.66E-05,0.000137357,15,1,17
already,0.000300451,7.31E-05,0.000226235,15,2,28
train,0.000300451,0,8.08E-06,15,0,1
stared,0.000300451,0,4.04E-05,15,0,5
hall,0.000300451,0.000329044,9.70E-05,15,9,12
suggested,0.000280421,0,4.04E-05,14,0,5
care,0.000280421,0.000146242,0.000282794,14,4,35
book,0.000280421,0.000402164,0.000145437,14,11,18
family,0.000280421,3.66E-05,0.001228134,14,1,152
longer,0.000280421,0.000109681,0.000355512,14,3,44
really,0.000280421,0.000475285,0.000719105,14,13,89
husband,0.000280421,0,0.000403991,14,0,50
mouth,0.000280421,0.000365604,8.08E-06,14,10,1
minutes,0.000280421,0.000402164,0.000298954,14,11,37
pale,0.000280421,0.000146242,3.23E-05,14,4,4
floor,0.000280421,0.000109681,0,14,3,0
held,0.000280421,0.000146242,4.04E-05,14,4,5
cars,0.000280421,0,0,14,0,0
tomorrow,0.000280421,3.66E-05,0,14,1,0
cool,0.000280421,7.31E-05,2.42E-05,14,2,3
hundred,0.000280421,3.66E-05,4.85E-05,14,1,6
pretty,0.000280421,3.66E-05,0.000193916,14,1,24
explained,0.000280421,3.66E-05,7.27E-05,14,1,9
stop,0.000280421,0.000219362,3.23E-05,14,6,4
george,0.000280421,0,6.46E-05,14,0,8
week,0.000280421,0.000109681,0.000234315,14,3,29
suit,0.000280421,0.000109681,5.66E-05,14,3,7
cold,0.000280421,3.66E-05,0.000145437,14,1,18
catherine,0.000280421,0,0.001018058,14,0,126
crazy,0.000280421,3.66E-05,0,14,1,0
policeman,0.000280421,0,0,14,0,0
someone,0.000280421,3.66E-05,8.08E-06,14,1,1
understand,0.000280421,0.000219362,0.000242395,14,6,30
oxford,0.000280421,0,8.08E-06,14,0,1
heat,0.000280421,0,0,14,0,0
person,0.000260391,0.000146242,0.000412071,13,4,51
certain,0.000260391,0.000109681,0.000436311,13,3,54
war,0.000260391,0,8.08E-06,13,0,1
trees,0.000260391,0.000255923,4.04E-05,13,7,5
ran,0.000260391,0.000584966,0.000105038,13,16,13
pulled,0.000260391,3.66E-05,0,13,1,0
both,0.000260391,0.000511846,0.000565588,13,14,70
sight,0.000260391,0.000365604,0.000137357,13,10,17
forward,0.000260391,0,0.000226235,13,0,28
shoulder,0.000260391,0.000146242,0,13,4,0
nice,0.000260391,0.000219362,4.04E-05,13,6,5
deep,0.000260391,0.000255923,5.66E-05,13,7,7
wind,0.000260391,7.31E-05,8.08E-06,13,2,1
picture,0.000260391,3.66E-05,0.000113118,13,1,14
whispered,0.000260391,0.000182802,8.08E-06,13,5,1
sun,0.000260391,7.31E-05,0,13,2,0
sometimes,0.000260391,0.000182802,0.000290874,13,5,36
effort,0.000260391,0,4.04E-05,13,0,5
leaving,0.000260391,3.66E-05,0.000145437,13,1,18
continued,0.000260391,0.000329044,0.000371672,13,9,46
boy,0.000260391,7.31E-05,2.42E-05,13,2,3
taking,0.000260391,0.000182802,0.000153517,13,5,19
sit,0.000260391,0.000292483,0.000121197,13,8,15
sister,0.000260391,0.000329044,0.001745243,13,9,216
lay,0.000260391,0.000146242,4.85E-05,13,4,6
change,0.000260391,0.000511846,0.000193916,13,14,24
laughter,0.000260391,3.66E-05,1.62E-05,13,1,2
late,0.000260391,0.000219362,0.000153517,13,6,19
lunch,0.000260391,0,0,13,0,0
cody,0.000260391,0,0,13,0,0
turning,0.000240361,0.000438725,0.000105038,12,12,13
since,0.000240361,0.000146242,0.00047671,12,4,59
curious,0.000240361,0.000694648,4.04E-05,12,19,5
forever,0.000240361,0,0,12,0,0
known,0.000240361,3.66E-05,0.00046055,12,1,57
single,0.000240361,0,9.70E-05,12,0,12
finally,0.000240361,0,5.66E-05,12,0,7
faces,0.000240361,0.000182802,2.42E-05,12,5,3
less,0.000240361,0.000146242,0.000630227,12,4,78
pool,0.000240361,0.000365604,8.08E-06,12,10,1
run,0.000240361,0.000146242,8.89E-05,12,4,11
added,0.000240361,0.000840889,0.000517109,12,23,64
grass,0.000240361,0.000146242,0,12,4,0
raised,0.000240361,7.31E-05,4.85E-05,12,2,6
surprised,0.000240361,0.000255923,0.000282794,12,7,35
remarked,0.000240361,0.000365604,8.08E-06,12,10,1
drink,0.000240361,0.000255923,5.66E-05,12,7,7
somewhere,0.000240361,0.000109681,3.23E-05,12,3,4
hurried,0.000240361,0.000402164,8.08E-05,12,11,10
talk,0.000240361,0.000511846,0.000258555,12,14,32
nose,0.000240361,0.000292483,8.08E-06,12,8,1
anyhow,0.000240361,0,8.08E-06,12,0,1
arms,0.000240361,0.000219362,0,12,6,0
play,0.000240361,0.000292483,0.000145437,12,8,18
smiled,0.000240361,7.31E-05,0.000145437,12,2,18
leave,0.000240361,0.000329044,0.000500949,12,9,62
kept,0.000240361,0.000475285,0.000137357,12,13,17
jay,0.000240361,0,0,12,0,0
killed,0.000240361,0,3.23E-05,12,0,4
coup,0.000240361,0,0,12,0,0
dead,0.000240361,0.000146242,4.04E-05,12,4,5
mind,0.00022033,0.000365604,0.00046055,11,10,57
quality,0.00022033,0,1.62E-05,11,0,2
wild,0.00022033,7.31E-05,8.89E-05,11,2,11
wet,0.00022033,7.31E-05,1.62E-05,11,2,2
middle,0.00022033,0.000255923,2.42E-05,11,7,3
fifty,0.00022033,0,4.85E-05,11,0,6
warm,0.00022033,0,4.85E-05,11,0,6
rooms,0.00022033,0,8.08E-05,11,0,10
read,0.00022033,0.000402164,0.000323193,11,11,40
fine,0.00022033,7.31E-05,0.000258555,11,2,32
should,0.00022033,0.001169933,0.002028037,11,32,251
enormous,0.00022033,3.66E-05,0,11,1,0
story,0.00022033,0.000292483,7.27E-05,11,8,9
lived,0.00022033,0.000109681,0.000113118,11,3,14
dinner,0.00022033,7.31E-05,0.000250475,11,2,31
coloured,0.00022033,0,4.85E-05,11,0,6
either,0.00022033,0.000365604,0.000500949,11,10,62
making,0.00022033,0.000292483,0.000290874,11,8,36
couch,0.00022033,0,0,11,0,0
wall,0.00022033,0,0,11,0,0
having,0.00022033,0.000365604,0.000759504,11,10,94
lips,0.00022033,3.66E-05,7.27E-05,11,1,9
black,0.00022033,0,8.08E-06,11,0,1
doing,0.00022033,0.000182802,0.000210076,11,5,26
beyond,0.00022033,0,0.000290874,11,0,36
mine,0.00022033,0.000329044,0.000121197,11,9,15
silver,0.00022033,0,0,11,0,0
bad,0.00022033,7.31E-05,0.000121197,11,2,15
repeated,0.00022033,0.000365604,0.000169676,11,10,21
glad,0.00022033,0.000402164,0.000290874,11,11,36
rest,0.00022033,0.000365604,0.000323193,11,10,40
station,0.00022033,3.66E-05,1.62E-05,11,1,2
large,0.00022033,0.001206493,0.000185836,11,33,23
keep,0.00022033,0.000402164,0.000210076,11,11,26
work,0.00022033,0.000292483,0.000161597,11,8,20
saying,0.00022033,0.000548406,0.000242395,11,15,30
lost,0.00022033,0.000109681,0.000234315,11,3,29
voices,0.00022033,7.31E-05,0,11,2,0
