unigram,gatsby,alice,austen
cadet,1.0,0.0,0.0
reciprocal,1.0,0.0,0.0
discontented,1.0,0.0,2.0
wedging,1.0,0.0,0.0
imperatively,1.0,0.0,0.0
checker,1.0,0.0,0.0
slenderly,1.0,0.0,0.0
languidly,1.0,0.0,0.0
preceded,1.0,0.0,1.0
sunset,1.0,0.0,0.0
flickered,1.0,0.0,0.0
radiantly,1.0,0.0,0.0
fastened,1.0,0.0,1.0
lookedthe,1.0,0.0,0.0
knuckle,1.0,0.0,0.0
brute,1.0,0.0,0.0
specimen,1.0,0.0,0.0
kidding,1.0,0.0,0.0
unobtrusively,1.0,0.0,0.0
bantering,1.0,0.0,0.0
inconsequence,1.0,0.0,0.0
entertain,1.0,0.0,5.0
entertained,1.0,0.0,7.0
anticipation,1.0,0.0,1.0
dread,1.0,0.0,4.0
uncivilized,1.0,0.0,0.0
confessed,1.0,0.0,4.0
corky,1.0,0.0,0.0
claret,1.0,0.0,0.0
crops,1.0,0.0,0.0
pessimist,1.0,0.0,0.0
empires,1.0,0.0,0.0
goddard,1.0,0.0,0.0
bewill,1.0,0.0,0.0
proved,1,2,17
unthoughtful,1.0,0.0,0.0
reads,1.0,0.0,0.0
dominant,1.0,0.0,0.0
races,1.0,0.0,0.0
winking,1.0,0.0,2.0
ferociously,1.0,0.0,0.0
fervent,1.0,0.0,1.0
california,1.0,0.0,0.0
nordics,1.0,0.0,0.0
infinitesimal,1.0,0.0,0.0
slight,1.0,0.0,19.0
civilizationoh,1.0,0.0,0.0
art,1.0,0.0,3.0
pathetic,1.0,0.0,1.0
complacency,1.0,0.0,5.0
interruption,1.0,0.0,10.0
polisher,1.0,0.0,0.0
polish,1.0,0.0,0.0
listenedthen,1.0,0.0,0.0
deserting,1.0,0.0,0.0
lingering,1.0,0.0,1.0
regret,1.0,0.0,19.0
quickened,1.0,0.0,0.0
remind,1.0,0.0,3.0
aof,1.0,0.0,0.0
extemporizing,1.0,0.0,0.0
stirring,1,2,1
flowed,1.0,0.0,1.0
napkin,1.0,0.0,0.0
devoid,1.0,0.0,1.0
warning,1.0,1.0,0.0
subdued,1.0,1.0,0.0
unashamed,1.0,0.0,0.0
trembled,1,2,1
coherence,1.0,0.0,0.0
altogether,1,5,8
happening,1,1,2
honestly,1.0,0.0,4.0
hesitantly,1.0,0.0,0.0
grasped,1.0,0.0,0.0
crunch,1.0,0.0,0.0
searchingly,1.0,0.0,0.0
nightingale,1.0,0.0,0.0
cunard,1.0,0.0,0.0
subjects,1,1,10
fragments,1.0,0.0,0.0
conscious,1.0,0.0,3.0
wanting,1.0,0.0,7.0
squarely,1.0,0.0,0.0
mastered,1.0,0.0,0.0
hardy,1.0,0.0,0.0
urgency,1.0,0.0,0.0
temperament,1.0,0.0,0.0
intriguingmy,1.0,0.0,0.0
needless,1.0,0.0,3.0
deaf,1.0,0.0,0.0
connecting,1.0,0.0,0.0
velvet,1.0,1.0,0.0
sedative,1.0,0.0,0.0
feebly,1.0,1.0,0.0
talks,1.0,0.0,1.0
andeats,1.0,0.0,0.0
born,1.0,0.0,4.0
aboutthings,1.0,0.0,0.0
ether,1.0,0.0,0.0
wept,1.0,1.0,0.0
foolthat,1.0,0.0,0.0
sothe,1.0,0.0,0.0
advanced,1.0,0.0,5.0
sophisticatedgod,1.0,0.0,0.0
sophisticated,1.0,0.0,0.0
ceasing,1.0,0.0,0.0
compel,1.0,0.0,0.0
belief,1.0,0.0,15.0
basic,1.0,0.0,0.0
insincerity,1.0,0.0,0.0
trick,1.0,0.0,0.0
exact,1,1,3
contributory,1.0,0.0,0.0
smirk,1.0,0.0,0.0
membership,1.0,0.0,0.0
postthe,1.0,0.0,0.0
uninflected,1.0,0.0,0.0
tune,1.0,0.0,0.0
lamplight,1.0,0.0,0.0
glinted,1.0,0.0,0.0
page,1.0,0.0,2.0
muscles,1.0,0.0,0.0
tossing,1.0,3.0,0.0
issue,1.0,0.0,0.0
westchester,1.0,0.0,0.0
ohyou're,1.0,0.0,0.0
familiarits,1.0,0.0,0.0
pleasing,1,1,22
rotogravure,1.0,0.0,0.0
pictures,1,4,1
sporting,1.0,0.0,0.0
asheville,1.0,0.0,0.0
springs,1.0,0.0,1.0
critical,1.0,0.0,1.0
anon,1.0,0.0,0.0
ofohfling,1.0,0.0,0.0
knowlock,1.0,0.0,0.0
accidentally,1,1,3
closets,1.0,0.0,1.0
girlhood,1.0,0.0,0.0
nordic,1.0,0.0,0.0
peremptorily,1.0,0.0,0.0
corroborated,1.0,0.0,1.0
libel,1.0,0.0,0.0
referring,1.0,0.0,0.0
published,1.0,0.0,0.0
banns,1.0,0.0,0.0
account,1,1,38
rumoured,1.0,0.0,0.0
richnevertheless,1.0,0.0,0.0
disgusted,1.0,0.0,3.0
armsbut,1.0,0.0,0.0
depressed,1.0,0.0,2.0
nibble,1.0,0.0,0.0
egotism,1.0,0.0,0.0
nourished,1.0,0.0,0.0
peremptory,1.0,0.0,0.0
wayside,1.0,0.0,0.0
garages,1.0,0.0,0.0
petrol,1.0,0.0,0.0
pumps,1.0,0.0,0.0
pools,1.0,0.0,1.0
estate,1.0,0.0,20.0
shed,1.0,0.0,1.0
roller,1.0,0.0,0.0
organ,1.0,0.0,0.0
bellows,1.0,0.0,0.0
frogs,1.0,0.0,0.0
cat,1.0,37.0,0.0
alonefifty,1.0,0.0,0.0
pepper,1.0,8.0,0.0
leisurely,1.0,0.0,1.0
determine,1.0,0.0,13.0
heavens,1.0,0.0,1.0
intimation,1.0,0.0,1.0
alonehe,1.0,0.0,0.0
seawardand,1.0,0.0,0.0
unquiet,1.0,0.0,0.0
ii,1,2,1
joins,1.0,0.0,0.0
shrink,1,1,1
area,1.0,0.0,0.0
ashesa,1.0,0.0,0.0
ridges,1.0,1.0,0.0
hills,1.0,0.0,3.0
chimneys,1.0,1.0,0.0
transcendent,1.0,0.0,0.0
crumbling,1.0,0.0,0.0
powdery,1.0,0.0,0.0
occasionally,1,1,12
crawls,1.0,0.0,0.0
creak,1.0,0.0,0.0
swarm,1.0,0.0,0.0
leaden,1.0,0.0,0.0
spades,1.0,1.0,0.0
impenetrable,1.0,0.0,0.0
cloud,1.0,0.0,0.0
screens,1.0,0.0,1.0
obscure,1.0,0.0,0.0
operations,1.0,0.0,0.0
spasms,1.0,0.0,1.0
bleak,1.0,0.0,0.0
endlessly,1.0,0.0,0.0
perceive,1.0,0.0,8.0
gigantictheir,1.0,0.0,0.0
retinas,1.0,0.0,0.0
pass,1,1,16
nonexistent,1.0,0.0,0.0
wag,1.0,1.0,0.0
oculist,1.0,0.0,0.0
fatten,1.0,0.0,0.0
borough,1.0,0.0,0.0
queens,1.0,1.0,0.0
blindness,1.0,0.0,0.0
dimmed,1.0,0.0,0.0
paintless,1.0,0.0,0.0
brood,1.0,0.0,0.0
dumping,1.0,0.0,0.0
bounded,1.0,0.0,0.0
drawbridge,1.0,0.0,0.0
barges,1.0,0.0,0.0
passengers,1.0,0.0,0.0
dismal,1.0,0.0,0.0
resented,1.0,0.0,3.0
cafs,1.0,0.0,0.0
chatting,1.0,0.0,0.0
whomsoever,1.0,0.0,0.0
herbut,1.0,0.0,0.0
tanked,1.0,0.0,0.0
determination,1.0,0.0,3.0
bordered,1.0,0.0,2.0
assumption,1.0,0.0,0.0
fence,1.0,0.0,0.0
building,1.0,0.0,3.0
compact,1.0,0.0,0.0
ministering,1.0,0.0,0.0
contiguous,1.0,0.0,0.0
shops,1.0,0.0,1.0
trail,1.0,0.0,0.0
garagerepairs,1.0,0.0,0.0
soldand,1.0,0.0,0.0
unprosperous,1.0,0.0,0.0
ford,1.0,0.0,0.0
crouched,1.0,1.0,0.0
sumptuous,1.0,0.0,0.0
spiritless,1.0,0.0,2.0
anaemic,1.0,0.0,0.0
jovially,1.0,0.0,0.0
complain,1.0,0.0,4.0
unconvincingly,1.0,0.0,0.0
works,1.0,1.0,0.0
thickish,1.0,0.0,0.0
thirties,1.0,0.0,0.0
flesh,1.0,0.0,0.0
sensuously,1.0,0.0,0.0
spotted,1.0,0.0,0.0
crpe,1.0,0.0,0.0
chine,1.0,0.0,0.0
facet,1.0,0.0,0.0
nerves,1.0,0.0,4.0
smouldering,1.0,0.0,0.0
flush,1.0,0.0,0.0
coarse,1.0,0.0,1.0
hurriedly,1.0,2.0,0.0
mingling,1.0,0.0,1.0
cement,1.0,0.0,0.0
walls,1.0,0.0,0.0
vicinityexcept,1.0,0.0,0.0
fourth,1,1,2
scrawny,1.0,0.0,0.0
setting,1,1,2
torpedoes,1.0,0.0,0.0
exchanging,1.0,0.0,0.0
frown,1.0,0.0,0.0
yorkor,1.0,0.0,0.0
sensibilities,1.0,0.0,0.0
eggers,1.0,0.0,0.0
figured,1.0,0.0,0.0
muslin,1.0,0.0,3.0
flask,1.0,0.0,0.0
perfume,1.0,0.0,0.0
echoing,1.0,0.0,0.0
selected,1.0,0.0,3.0
upholstery,1.0,0.0,0.0
mass,1.0,0.0,0.0
havea,1.0,0.0,0.0
backed,1.0,0.0,1.0
john,1.0,0.0,2.0
rockefeller,1.0,0.0,0.0
cowered,1.0,0.0,0.0
recent,1.0,0.0,5.0
puppies,1.0,0.0,0.0
indeterminate,1.0,0.0,0.0
breed,1.0,0.0,0.0
wriggling,1.0,1.0,0.0
washrag,1.0,0.0,0.0
admiringly,1.0,0.0,0.0
cost,1,1,4
airedaleundoubtedly,1.0,0.0,0.0
whitechanged,1.0,0.0,0.0
settled,1,3,48
fondled,1.0,0.0,0.0
weatherproof,1.0,0.0,0.0
rapture,1.0,0.0,2.0
pastoral,1.0,0.0,0.0
flock,1.0,1.0,0.0
sheep,1.0,1.0,0.0
interposed,1.0,0.0,0.0
myrtle'll,1.0,0.0,0.0
158th,1.0,0.0,0.0
cab,1.0,0.0,0.0
slice,1.0,0.0,0.0
regal,1.0,0.0,0.0
homecoming,1.0,0.0,0.0
purchases,1.0,0.0,2.0
floora,1.0,0.0,0.0
tapestried,1.0,0.0,0.0
stumble,1.0,0.0,0.0
enlarged,1.0,0.0,0.0
bonnet,1.0,0.0,3.0
countenance,1.0,0.0,30.0
copies,1.0,0.0,0.0
peter,1.0,0.0,0.0
scandal,1.0,0.0,0.0
tin,1.0,0.0,0.0
biscuitsone,1.0,0.0,0.0
decomposed,1.0,0.0,0.0
apathetically,1.0,0.0,0.0
saucer,1.0,1.0,0.0
twice,1,5,13
hazy,1.0,0.0,0.0
cast,1.0,0.0,2.0
although,1.0,0.0,1.0
chapter,1,12,61
petereither,1.0,0.0,0.0
commenced,1.0,0.0,0.0
worldly,1.0,0.0,2.0
sticky,1.0,0.0,0.0
complexion,1.0,0.0,7.0
milky,1.0,0.0,0.0
plucked,1.0,0.0,0.0
rakish,1.0,0.0,0.0
angle,1.0,0.0,0.0
efforts,1.0,0.0,2.0
alignment,1.0,0.0,0.0
clicking,1.0,0.0,0.0
pottery,1.0,0.0,0.0
bracelets,1.0,0.0,1.0
jingled,1.0,0.0,0.0
proprietary,1.0,0.0,0.0
haste,1,1,9
possessively,1.0,0.0,0.0
immoderately,1.0,0.0,0.0
feminine,1.0,0.0,0.0
cheekbone,1.0,0.0,0.0
respectful,1,1,1
greeting,1.0,0.0,0.0
artistic,1.0,0.0,0.0
photographer,1.0,0.0,0.0
enlargement,1.0,0.0,0.0
ectoplasm,1.0,0.0,0.0
languid,1.0,1.0,0.0
photographed,1.0,0.0,0.0
attired,1.0,0.0,0.0
continual,1.0,0.0,3.0
rustle,1.0,0.0,0.0
undergone,1.0,0.0,2.0
remarkable,1,2,7
converted,1.0,0.0,0.0
hauteur,1.0,0.0,2.0
assertions,1.0,0.0,3.0
expanded,1.0,0.0,0.0
smaller,1.0,3.0,0.0
revolving,1.0,0.0,1.0
noisy,1.0,0.0,3.0
creaking,1.0,0.0,0.0
pivot,1.0,0.0,0.0
smoky,1.0,0.0,0.0
mincing,1.0,0.0,0.0
cheat,1.0,0.0,1.0
appendicitis,1.0,0.0,0.0
eberhardt,1.0,0.0,0.0
homes,1.0,0.0,0.0
adorable,1.0,0.0,0.0
rejected,1.0,0.0,4.0
eyebrow,1.0,0.0,0.0
disdain,1.0,0.0,6.0
wonderful,1,2,3
pose,1.0,0.0,0.0
strand,1.0,0.0,0.0
brilliant,1.0,0.0,0.0
modelling,1.0,0.0,0.0
features,1.0,0.0,8.0
audibly,1.0,1.0,0.0
mineral,1.0,1.0,0.0
shiftlessness,1.0,0.0,0.0
flounced,1.0,0.0,0.0
ecstasy,1.0,0.0,2.0
implying,1.0,0.0,0.0
chefs,1.0,0.0,0.0
awaited,1.0,0.0,1.0
framed,1.0,0.0,0.0
kaiser,1.0,0.0,0.0
wilhelm,1.0,0.0,0.0
entry,1.0,0.0,0.0
silently,1.0,0.0,3.0
overheard,1.0,0.0,3.0
lowered,1.0,0.0,0.0
elaborateness,1.0,0.0,0.0
blows,1.0,1.0,0.0
discreet,1.0,0.0,0.0
marseilles,1.0,0.0,0.0
gyped,1.0,0.0,0.0
mediterraneanthen,1.0,0.0,0.0
declared,1,1,15
vigorously,1.0,0.0,1.0
kike,1.0,0.0,0.0
marry,1.0,0.0,43.0
ambiguously,1.0,0.0,0.0
fit,1,3,4
lick,1.0,0.0,0.0
band,1.0,0.0,1.0
resumed,1.0,0.0,0.0
sweetie,1.0,0.0,0.0
whiskya,1.0,0.0,0.0
onewas,1.0,0.0,0.0
excepting,1.0,0.0,3.0
sandwiches,1.0,0.0,0.0
eastward,1.0,0.0,0.0
entangled,1.0,2.0,0.0
strident,1.0,0.0,0.0
ropes,1.0,0.0,0.0
contributed,1.0,0.0,1.0
secrecy,1.0,0.0,10.0
watcher,1.0,0.0,0.0
darkening,1.0,0.0,0.0
repelled,1.0,0.0,1.0
variety,1.0,0.0,7.0
facing,1.0,0.0,0.0
pretend,1,1,7
shirtfront,1.0,0.0,0.0
massage,1.0,0.0,0.0
ashtrays,1.0,0.0,0.0
write,1,6,39
o'clockalmost,1.0,0.0,0.0
fists,1.0,0.0,0.0
clenched,1.0,0.0,0.0
action,1.0,0.0,1.0
dried,1.0,1.0,0.0
plans,1.0,0.0,2.0
discussing,1.0,0.0,0.0
dai,1.0,0.0,0.0
bloody,1.0,0.0,0.0
towels,1.0,0.0,0.0
bathroom,1.0,0.0,0.0
pain,1.0,0.0,29.0
doze,1.0,1.0,0.0
daze,1.0,0.0,0.0
scenehis,1.0,0.0,0.0
stumbled,1.0,0.0,0.0
articles,1.0,0.0,2.0
aid,1.0,0.0,1.0
despairing,1.0,0.0,0.0
bleeding,1.0,0.0,0.0
fluently,1.0,0.0,1.0
tapestry,1.0,0.0,0.0
chandelier,1.0,0.0,0.0
lever,1.0,0.0,0.0
dignity,1.0,0.0,5.0
sheets,1.0,0.0,1.0
clad,1.0,0.0,0.0
portfolio,1.0,0.0,0.0
beast,1.0,1.0,0.0
brook'n,1.0,0.0,0.0
tribune,1.0,0.0,0.0
iii,1,1,1
moths,1.0,0.0,0.0
whisperings,1.0,0.0,0.0
diving,1.0,0.0,0.0
raft,1.0,0.0,0.0
motorboats,1.0,0.0,0.0
slit,1.0,0.0,1.0
waters,1.0,1.0,0.0
aquaplanes,1.0,0.0,0.0
cataracts,1.0,0.0,0.0
foam,1.0,0.0,0.0
rolls,1.0,0.0,0.0
royce,1.0,0.0,0.0
omnibus,1.0,0.0,0.0
bearing,1.0,0.0,2.0
scampered,1.0,0.0,0.0
bug,1.0,0.0,0.0
mondays,1.0,0.0,0.0
toiled,1.0,0.0,0.0
mops,1.0,0.0,0.0
scrubbing,1.0,0.0,0.0
brushes,1.0,0.0,0.0
hammers,1.0,0.0,0.0
shears,1.0,0.0,0.0
repairing,1.0,0.0,0.0
ravages,1.0,0.0,0.0
friday,1.0,0.0,1.0
crates,1.0,0.0,0.0
fruiterer,1.0,0.0,0.0
yorkevery,1.0,0.0,0.0
monday,1.0,0.0,9.0
pyramid,1.0,0.0,0.0
pulpless,1.0,0.0,0.0
halves,1.0,0.0,0.0
extract,1.0,0.0,0.0
juice,1.0,0.0,0.0
thumb,1.0,0.0,0.0
fortnight,1.0,0.0,23.0
corps,1.0,0.0,6.0
caterers,1.0,0.0,0.0
buffet,1.0,0.0,0.0
tables,1.0,0.0,6.0
hors,1.0,0.0,0.0
d'oeuvre,1.0,0.0,0.0
spiced,1.0,0.0,0.0
baked,1.0,1.0,0.0
hams,1.0,0.0,0.0
salads,1.0,0.0,0.0
harlequin,1.0,0.0,0.0
pastry,1.0,0.0,0.0
pigs,1,6,1
turkeys,1.0,0.0,0.0
bewitched,1.0,0.0,1.0
rail,1.0,0.0,1.0
stocked,1.0,0.0,0.0
gins,1.0,0.0,0.0
liquors,1.0,0.0,0.0
cordials,1.0,0.0,0.0
female,1.0,0.0,8.0
pitful,1.0,0.0,0.0
oboes,1.0,0.0,0.0
trombones,1.0,0.0,0.0
viols,1.0,0.0,0.0
cornets,1.0,0.0,0.0
piccolos,1.0,0.0,0.0
swimmers,1.0,0.0,0.0
parked,1.0,0.0,0.0
gaudy,1.0,0.0,1.0
primary,1.0,0.0,0.0
colours,1.0,0.0,0.0
bobbed,1.0,0.0,0.0
ways,1,1,3
shawls,1.0,0.0,0.0
castile,1.0,0.0,0.0
rounds,1.0,0.0,0.0
permeate,1.0,0.0,0.0
introductions,1.0,0.0,0.0
enthusiastic,1.0,0.0,0.0
meetings,1.0,0.0,2.0
brighter,1.0,0.0,0.0
lurches,1.0,0.0,0.0
opera,1.0,0.0,0.0
pitches,1.0,0.0,0.0
prodigality,1.0,0.0,0.0
swiftly,1.0,0.0,0.0
dissolve,1.0,0.0,0.0
wanderers,1.0,0.0,0.0
weave,1.0,0.0,0.0
stouter,1.0,0.0,0.0
joyous,1.0,0.0,0.0
glide,1.0,0.0,0.0
constantly,1.0,0.0,3.0
gypsies,1.0,0.0,0.0
opal,1.0,0.0,0.0
seizes,1.0,0.0,0.0
dumps,1.0,0.0,0.0
frisco,1.0,0.0,0.0
varies,1.0,0.0,0.0
obligingly,1.0,0.0,1.0
erroneous,1.0,0.0,0.0
gilda,1.0,0.0,0.0
gray,1.0,0.0,0.0
understudy,1.0,0.0,0.0
follies,1.0,0.0,4.0
invitedthey,1.0,0.0,0.0
conducted,1.0,0.0,2.0
behaviour,1.0,0.0,55.0
amusement,1.0,0.0,12.0
robin's,1.0,0.0,0.0
employer,1.0,0.0,0.0
attend,1.0,0.0,5.0
combination,1.0,0.0,0.0
itsigned,1.0,0.0,0.0
majestic,1.0,0.0,0.0
flannels,1.0,0.0,0.0
ill,1,2,76
swirls,1.0,0.0,0.0
eddies,1.0,0.0,0.0
knowthough,1.0,0.0,0.0
englishmen,1.0,0.0,0.0
dotted,1.0,0.0,0.0
hungry,1.0,3.0,0.0
earnest,1.0,0.0,15.0
prosperous,1.0,0.0,2.0
insurance,1.0,0.0,0.0
agonizingly,1.0,0.0,0.0
theirs,1,1,2
whereabouts,1.0,0.0,0.0
vehemently,1.0,0.0,0.0
knowledge,1,3,20
slunk,1.0,0.0,0.0
tablethe,1.0,0.0,0.0
linger,1.0,0.0,0.0
passersby,1.0,0.0,0.0
advancing,1.0,0.0,0.0
unnaturally,1.0,0.0,1.0
responded,1.0,0.0,0.0
impersonally,1.0,0.0,0.0
twin,1.0,0.0,0.0
win,1,1,1
finals,1.0,0.0,0.0
dyed,1.0,0.0,0.0
premature,1.0,0.0,0.0
caterer,1.0,0.0,0.0
mumble,1.0,0.0,0.0
companion,1.0,0.0,16.0
tore,1.0,0.0,0.0
addressinside,1.0,0.0,0.0
package,1.0,0.0,0.0
croirier,1.0,0.0,0.0
bust,1.0,0.0,0.0
altered,1,1,7
confidentially,1.0,0.0,0.0
thrill,1.0,0.0,0.0
mumbles,1.0,0.0,0.0
listened,1,1,21
argued,1,1,1
sceptically,1.0,0.0,0.0
spy,1.0,0.0,0.0
germany,1.0,0.0,0.0
positively,1,1,2
credulity,1.0,0.0,0.0
switched,1.0,0.0,0.0
bet,1.0,0.0,0.0
speculation,1.0,0.0,1.0
inspired,1.0,0.0,2.0
supperthere,1.0,0.0,0.0
midnightwas,1.0,0.0,0.0
escort,1.0,0.0,0.0
sooner,1,2,13
yield,1.0,0.0,4.0
greater,1.0,0.0,25.0
lesser,1.0,0.0,0.0
rambling,1.0,0.0,0.0
preserved,1.0,0.0,4.0
homogeneity,1.0,0.0,0.0
function,1.0,0.0,0.0
representing,1.0,0.0,2.0
staid,1.0,0.0,0.0
nobility,1.0,0.0,0.0
countrysideeast,1.0,0.0,0.0
condescending,1.0,0.0,0.0
carefully,1,3,3
guard,1,1,7
spectroscopic,1.0,0.0,0.0
wasteful,1.0,0.0,0.0
inappropriate,1.0,0.0,0.0
gothic,1.0,0.0,0.0
panelled,1.0,0.0,0.0
carved,1.0,0.0,1.0
english,1.0,6.0,0.0
oak,1.0,0.0,0.0
transported,1.0,0.0,0.0
ruin,1.0,0.0,5.0
aged,1.0,0.0,0.0
somewhat,1.0,0.0,8.0
unsteady,1.0,0.0,0.0
shelves,1,2,1
impetuously,1.0,0.0,0.0
bookshelves,1.0,0.0,0.0
ascertain,1.0,0.0,2.0
ascertained,1.0,0.0,0.0
realhave,1.0,0.0,0.0
durable,1.0,0.0,0.0
andhere,1.0,0.0,0.0
lemme,1.0,0.0,0.0
bookcases,1.0,0.0,0.0
volume,1.0,0.0,2.0
stoddard,1.0,0.0,0.0
lectures,1.0,0.0,0.0
fooled,1.0,0.0,0.0
belasco,1.0,0.0,0.0
thoroughness,1.0,0.0,0.0
realism,1.0,0.0,0.0
toodidn't,1.0,0.0,0.0
snatched,1.0,0.0,0.0
cheerfully,1,1,2
claud,1.0,0.0,0.0
graceless,1.0,0.0,0.0
tortuously,1.0,0.0,0.0
cornersand,1.0,0.0,0.0
individually,1.0,0.0,1.0
relieving,1.0,0.0,0.0
banjo,1.0,0.0,0.0
traps,1.0,1.0,0.0
notorious,1.0,0.0,0.0
vacuous,1.0,0.0,0.0
stage,1.0,0.0,1.0
twins,1.0,0.0,0.0
bigger,1.0,0.0,0.0
risen,1.0,0.0,1.0
triangle,1.0,0.0,0.0
scales,1.0,0.0,0.0
tinny,1.0,0.0,0.0
drip,1.0,0.0,0.0
banjoes,1.0,0.0,0.0
rowdy,1.0,0.0,0.0
slightest,1,1,3
provocation,1.0,0.0,0.0
uncontrollable,1.0,0.0,0.0
enjoying,1.0,0.0,4.0
significant,1.0,0.0,3.0
elemental,1.0,0.0,0.0
lull,1.0,0.0,0.0
entertainment,1.0,0.0,6.0
division,1.0,0.0,0.0
eighth,1.0,0.0,0.0
sixteenth,1.0,1.0,0.0
understandinglymuch,1.0,0.0,0.0
understandingly,1.0,0.0,0.0
smiles,1.0,0.0,10.0
reassurance,1.0,0.0,0.0
facedor,1.0,0.0,0.0
prejudice,1.0,0.0,5.0
convey,1.0,0.0,2.0
vanishedand,1.0,0.0,0.0
roughneck,1.0,0.0,0.0
strong,1.0,0.0,19.0
rejoin,1.0,0.0,0.0
jordanconstrained,1.0,0.0,0.0
assure,1.0,0.0,39.0
corpulent,1.0,0.0,0.0
background,1.0,0.0,0.0
stimulating,1.0,0.0,0.0
louisiana,1.0,0.0,0.0
comprehensible,1.0,0.0,0.0
didn'tat,1.0,0.0,0.0
inexperience,1.0,0.0,0.0
didn'tdrift,1.0,0.0,0.0
urban,1.0,0.0,0.0
distaste,1.0,0.0,0.0
concrete,1.0,0.0,0.0
privacy,1.0,0.0,0.0
bass,1.0,0.0,1.0
drum,1.0,0.0,0.0
echolalia,1.0,0.0,0.0
gentlemen,1.0,0.0,38.0
carnegie,1.0,0.0,0.0
jovial,1.0,0.0,0.0
condescension,1.0,0.0,7.0
concluded,1,2,10
lustily,1.0,0.0,0.0
composition,1.0,0.0,1.0
approving,1.0,0.0,0.0
attractively,1.0,0.0,0.0
trimmed,1.0,0.0,0.0
fraternal,1.0,0.0,0.0
putting,1,3,5
puppyish,1.0,0.0,0.0
convivial,1.0,0.0,0.0
swooning,1.0,0.0,0.0
playfully,1.0,0.0,0.0
arrest,1.0,0.0,0.0
fallsbut,1.0,0.0,0.0
swooned,1.0,0.0,0.0
quartets,1.0,0.0,0.0
link,1.0,0.0,0.0
wore,1,1,2
clothesthere,1.0,0.0,0.0
jauntiness,1.0,0.0,0.0
learned,1,1,3
courses,1.0,0.0,3.0
mornings,1.0,0.0,3.0
intriguing,1.0,0.0,0.0
sounds,1,4,1
windowed,1.0,0.0,0.0
overhung,1.0,0.0,0.0
terrace,1.0,0.0,0.0
eluding,1.0,0.0,0.0
obstetrical,1.0,0.0,0.0
implored,1.0,0.0,0.0
quantity,1.0,0.0,1.0
ineptly,1.0,0.0,0.0
sadshe,1.0,0.0,0.0
weeping,1.0,0.0,0.0
sobs,1.0,4.0,0.0
lyric,1.0,0.0,0.0
quavering,1.0,0.0,0.0
soprano,1.0,0.0,0.0
coursed,1.0,0.0,0.0
cheeksnot,1.0,0.0,0.0
freely,1.0,0.0,4.0
beaded,1.0,0.0,0.0
eyelashes,1.0,0.0,1.0
inky,1.0,0.0,0.0
rivulets,1.0,0.0,0.0
humorous,1.0,0.0,0.0
vinous,1.0,0.0,0.0
remaining,1,1,8
fights,1.0,0.0,0.0
husbands,1.0,0.0,4.0
quartet,1.0,0.0,0.0
asunder,1.0,0.0,0.0
dissension,1.0,0.0,0.0
actress,1.0,0.0,0.0
resorted,1.0,0.0,0.0
flank,1.0,0.0,0.0
attacksat,1.0,0.0,0.0
intervals,1.0,0.0,3.0
diamond,1.0,0.0,0.0
hissed,1.0,0.0,0.0
confined,1.0,0.0,5.0
wayward,1.0,0.0,0.0
occupied,1.0,0.0,6.0
deplorably,1.0,0.0,0.0
highly,1.0,0.0,28.0
indignant,1,1,2
sympathizing,1.0,0.0,0.0
selfish,1.0,0.0,7.0
sheepishly,1.0,0.0,0.0
spite,1,1,23
malevolence,1.0,0.0,0.0
credibility,1.0,0.0,0.0
dispute,1,2,2
kicking,1.0,0.0,0.0
tightened,1.0,0.0,0.0
abstractedly,1.0,0.0,0.0
tantalizing,1.0,0.0,0.0
gracefully,1.0,0.0,1.0
sigourney,1.0,0.0,0.0
howard,1.0,0.0,0.0
talkedher,1.0,0.0,0.0
salute,1.0,0.0,0.0
ashamed,1,2,16
explain,1,10,6
apologize,1.0,0.0,5.0
enjoined,1.0,0.0,0.0
familiarity,1.0,0.0,2.0
reassuringly,1.0,0.0,0.0
philadelphia,1.0,0.0,0.0
smiledand,1.0,0.0,0.0
illuminated,1.0,0.0,0.0
shorn,1.0,0.0,0.0
accounted,1.0,0.0,2.0
detachment,1.0,0.0,0.0
considerable,1.0,0.0,9.0
chauffeurs,1.0,0.0,0.0
blocking,1.0,0.0,0.0
discordant,1.0,0.0,0.0
dismounted,1.0,0.0,0.0
observers,1.0,0.0,0.0
puzzled,1,9,1
astonishing,1.0,0.0,0.0
manit,1.0,0.0,0.0
shrugged,1.0,0.0,0.0
mechanics,1.0,0.0,0.0
washing,1.0,2.0,0.0
drivingnext,1.0,0.0,0.0
bystanders,1.0,0.0,0.0
commit,1.0,0.0,0.0
suicide,1.0,0.0,0.0
lucky,1.0,0.0,6.0
criminal,1.0,0.0,0.0
declaration,1.0,0.0,5.0
sustained,1.0,0.0,1.0
crowdit,1.0,0.0,0.0
crowdstepped,1.0,0.0,0.0
dangling,1.0,0.0,0.0
individual,1.0,0.0,2.0
pawing,1.0,0.0,0.0
blinded,1.0,0.0,2.0
apparition,1.0,0.0,0.0
outa,1.0,0.0,0.0
amputated,1.0,0.0,0.0
wheelhe,1.0,0.0,0.0
upward,1.0,0.0,0.0
straightening,1.0,1.0,0.0
wonder'ff,1.0,0.0,0.0
gas'line,1.0,0.0,0.0
reverse,1.0,0.0,1.0
caterwauling,1.0,0.0,0.0
crescendo,1.0,0.0,0.0
